original text,translation result
岩石呈深灰绿色，风化后显浅灰—灰白色，具斑状（碎斑）结构、凝灰结构，胶结物为霏细结构。,"

The rock appears deep gray-green, light gray-gray-white after weathering, with pseudomonicrystalline structure and condensed structure. The matrix exhibits microporous structure."
在SiO2-A.R图解（图3-8）中，马架山组、灵乡组火山岩样品均位于碱性区内，说明马架山组、灵乡组火山岩为偏碱质火山岩。,"

In the SiO?-A.R graphical representation (Figure 3-8), the volcanic rock samples from the Maqiao 山组 and L灵乡组 are located within the alkaline zone, indicating that the volcanic rocks from the Maqiao 山组 and L灵乡组 are alkaline volcanic rocks."
（5）阳春—新兴断裂（F35）此断裂为阳春盆地东侧的重要边界断裂，受北西向断裂破坏及形成时不同边界条件影响，由数条呈“多”字形组合的断裂组成。,"

（5）阳春—新兴断裂（F35） 
This fracture is an important boundary fracture in the east side of the Yangchun basin. It is subject to varying boundary conditions during its formation and consists of several discontinuities arranged in a ""multi"" shape."
矿物成分：斑晶（钠长石）8%，石英43%，钠长石（基质）35%，钾长石5%，绿帘石2%，绿纤石3%，绿泥石2%，绢云母1%，铁质1%。,"

Mineral composition: Orthoclase feldspar (NaLong石) 8%, Quartz 43%, Orthoclase feldspathoid (base) 35%, Potassium feldspar 5%, Green schist 2%, Green epidote 3%, Green mica 2%, Chenille 1%, Iron-bearing 1%."
胶结物由安山岩组成，含量50%～70%，斑状结构，斑晶仅见斜长石，在碎屑物周围定向排列显示流动构造，为爆发碎屑物被熔岩胶结而成。,"

The matrix is composed of andesite, comprising 50% to 70%, with a textural structure, only visible plagioclase crystals are observed, arranged in a directional manner around the fragments, indicating a flowing structure formed by explosive fragments being bound by molten rock matrix."
巴颜喀拉山群、巴塘群和结隆组、结扎群分属巴颜喀拉山地层分区、西金乌兰－金沙江地层分区、羌北－昌都地层分区。,"

The Bahutan卡拉山 group, Baling group, and Jiecanglong series, along with the jiaoqiao group, belong to the Bahutan卡拉山 lithostratigraphic division, the Xijin乌兰–Jiachangjiang lithostratigraphic division, and the Yibei–Changdu lithostratigraphic division, respectively."
在火山岩全碱—SiO2（TAS）分类图解中的投影较分散（图4-7），分别落在流纹岩、英安岩及粗面岩三个区域。,"

In the classification diagram of total alkali-silica (TAS) for volcanic rock projections, the projections are more scattered, falling into three regions: rhyolitic flow, andesitic, and basaltic (Fig. 4-7)."
长英质矿物呈大小不规则粒状彼此紧密相连，黑云母多呈小叶片状定向分布，红柱石、堇青石、石榴石多呈不规则状，少数呈变斑晶。,"

The long石矿物呈particles of varying sizes and irregular shapes, closely connected together, while mica tends to be orientated distributions, red柱石、堇青石、石榴石多呈irregularly shaped, a few are vein-like crystals."
1、剖面描述以鄂州市涂镇第四系更新统洪冲积物（Qppal）实测地层剖面为代表（图2-48）。,"

1. Description of profiles is represented by the realied geologic section of the fourth series Quaternary update uniform loess in Tu town, E town of E town of鄂州市 (Qppal), as shown in Figure 2-48."
2．印支期褶皱印支期褶皱（表6-4）见于云开、粤中地区，卷入地层为泥盆系—中三叠统。,"

2. Cretaceous fold (Table 6-4) is observed in the cloud key and Guangdong middle region, with the involved horizons being Lower Jurassic—Middle Jurassic."
测区南部蔡华生厚105.65m，毛铺水库厚202.48m，西畈李厚135m，测区东邻殷祖幅青山水库厚268m，大冶幅走马山厚度81m。,"

The thickness of the area to the south of Cai Hua Sheng is 105.65 meters, the thickness of Mao铺 reservoir is 202.48 meters, the thickness of Xibian Li is 135 meters, the thickness of the area to the east of Yin祖幅 near Daxie is 268 meters, and the thickness of Womans Mountain is 81 meters."
断层两盘均为新滩组砂页岩，断裂中局部可见宽数十厘米的挤压破碎带。,"

Both flanks of the fault are sandstone of the Xintan Group, with local sheared zones visible up to several tens of centimeters in the fault zone."
(2)正长斑岩脉偶见于多尼组（K1d）之中，受SE走向断层控制，从位置、岩性看与折勒—得木我石英正长斑岩可以对比，故时代为晚白垩世。,"

(2) Dikes of normal gabbro are occasionally found within the Dunie组 (K1d), controlled by SE trending fault. Based on their position and lithology, they can be contrasted with the fold-and-thrust-related normal gabbro from the Zhalan-Diomatic complex, indicating a late Jurassic age."
第七节第四纪地层区内第四纪地层分布于聂恰曲，昂爪三角曲，托吉曲等沟谷中，总面积约占测区总面积的2%。,"

The fourth纪 geologic succession is distributed in the areas of Qiecha cur, Angjial triangle cur, and Tuoji cur, which are located in various valleys, occupying approximately 2% of the study area's total area."
2.沉积层序分析根据沉积环境、沉积结构及海平面变化情况，将确哈拉群划分为2个三级层序（图2-48），归1个超层序。,"

2. Stratigraphic sequence analysis was conducted based on the depositional environment, depositional structure, and sea-level change. The Charahar group was divided into two third-tier sequences (Figure 2-48) and corresponds to one superseries."
因热液型黄铁矿化不均匀，因此，Cu、Pb、Zn矿化亦不均匀了，表现为Cu、Pb、Zn含量普遍低且矿化不均匀，因此该矿床的成因类型为沉积－热液改造型。,"

Due to the uneven distribution of hydrothermal-type pyrite mineralization, the Cu、Pb、Zn mineralization is also uneven, characterized by low content of Cu、Pb、Zn and uneven distribution. Therefore, the type of this deposit is a composite of沉积 and热液 alteration."
爆发相与溢流相的岩石相互交替产出，环绕火口分布，其岩性主要为流纹质火山角砾岩、流纹质角砾凝灰岩。,"

The explosive phase and overflow phase rocks alternately produce, with the rock types primarily consisting of flowing tuff volcanic angular arkose and flowing tuff angular basaltic tuff, and are distributed around the tuyau."
中－晚石炭世测区同样处于暴露环境，仅中石炭世接受台地－局限台地相生物灰岩和白云岩沉积（大浦组和黄龙组浅海碳酸盐岩）。,"

The exposure environment of the Mid- and Late Carboniferous测区 (Carboniferous) remains consistent, with only the Middle Carboniferous stage (Middle Carboniferous) depositing biogenic greyshale and white sandstone from the limiter-limited shelf of the limiter-limited shelf相 (Daipu Group and Huanglong Group shallow marine carbonate sedimentary rocks)."
由于该图解没有考虑到黑云母和石榴石中其他成分对Mg—Fe分配的影响，实际变质温度不一定是此数。,"

Due to this graphical solution not taking into account the influence of other components in mica and quartz on the Mg—Fe distribution, the actual metamorphic temperature may not necessarily be this number."
眼球状条带状中性火山质糜棱岩：碎斑结构，基质为鳞片粒状变晶结构，眼球状条带状构造。,"

Eyelike strip-like neutral volcanic breccia scree: crackling pips structure, matrix of scale grain-structured and partially melted, eyelike strip-like structure."
1979年省物探队在鄂南地区开展1∶10万区域重力测量，为确定本区地质构造格架和深大断裂破碎带的位置、形态提供了依据。,"

In 1979, the provincial geological survey team conducted a 1:100,000 regional gravity survey in the鄂南 region to determine the position and morphological characteristics of geological构造 framework and deep major fracture zones in the area."
锡矿床的分布，主要位于信宜贵子—钱排一带云开群变质地层区，著名的锡矿床有信宜银岩斑岩型锡矿。,"

The distribution of tin ore deposits is primarily located in the cloud-coved metamorphic rock units of the Qiguzi–Qianpa area, with famous tin ore deposits including the Qiguzi intrusive tin ore deposit."
调查区本组属滨浅海相、局部河流相沉积环境，其特征有：?.岩石发育交错层理、斜层理，表现出三角洲相的沉积特点。,"

The geological characteristics of the study area include: item ?. The rocks exhibit alternating layering and fold structures, indicating the depositional features of a triangular landform deposit."
局部地方异源碎屑较多，可变成复成分火山角砾岩，异源碎屑主要为砂岩、泥岩。,"

In the local area, extrusive fragments are relatively abundant, which can form composite volcanic angular玢岩. The extrusive fragments are mainly composed of sandstone and mudstone."
⒈地质特征该花岗岩出露在图区北侧的巴颜喀拉山群中，集中分布在地仁、角考和日勤一带，其中地仁、角考、日勤一带的岩体呈小岩基、岩株产出。,"

The geological characteristics of the花岗岩 are exposed in the northern part of the 巴颜喀拉山 group within the study area, concentrated mainly in the areas near 地仁、角考 and 日勤. The rock masses in these areas consist of small rock masses and rock masses producing."
缅切英云闪长岩（T3δi）：岩性为灰白色片麻状中细粒英云闪长岩，灰白色－浅灰绿色，糜棱结构，变余中细粒花岗结构，片麻状构造。,"

Minetite brecciated andrцитic gabbro（T3δi）：岩性为gray-white brecciated andrцитic gabbro with intermediate grain and textured structure, gray-white to light gray-green, mucronic texture, intermediate grain花岗 structure, and textured构造."
依据蛇绿岩组合、岛弧型火山岩等分析认为测区通天河复合蛇绿混杂岩带具有独特的地质意义。,"

Based on the analysis of green schist and arc-type volcanic rocks, it is believed that the study area's composite green schist-riffle sandstone has unique geological significance."
