original text,translation result
"The location of the prospect at the edge of a mid - Proterozoic sedimentary basin abutting a basement high , and the presence of metalliferous rocks in hydrocarbons , suggest potential for sediment hosted base metals mineralisation .","

勘探目标位于中古生代沉积盆地与基底岩相接部位，伴生金属化岩藏存在烃源，表明砂质 hosted 基金属矿化具有潜力。"
Exploration showed that the carbonate sequence at Corktree is over 300 metres thick .,"

勘探显示，科克特尔地区的碳酸岩系超过300米厚。"
"Correlations have been drawn from Sweetwaters Well member of the Yelma Formation , which hosts primary MVT style Pb - Zn mineralisation in the main Earaheedy Basin to the east .","

从Yelta形成员的Sweetwaters井中推导出的地质关系显示，主要在东 eraseheidy basin向东方向的基岩中存在主要的Pb-Zn型 primary MVT式_primary metallogenesis。"
During 2010 reconnaissance mapping and sampling by PacMag was undertaken to assess the potential for Lead deposits and Zinc deposits .,"

2010年期间，PacMag进行过 reconnaissance surveys和采样工作，旨在评估铅矿床和锌矿床的可能性。"
"The area is of interest as it is mapped as outcropping Yelma Formation , one of the basal groups of the Yerrida Basin .","

该区域具有重要意义，它被映射为 Yelma 形成 exposures，为 Yerrida 沆域的基底组之一。"
Mildly anomalous Lead and Zinc were intersected .,轻度异常的铅和锌被揭露。
The area has several hills typical of the Magellan region .,"

该地区有几个山丘，属于马盖德兰地区。"
The substantial exploration drilling was carried out within the Magellan tenements in 2006 .,"

2006年，在马 G拉伦 tenements进行了实质性的勘探钻孔。"
The mineralisation is hosted by quartz breccia and weathered siltstones and sandstones of the Yelma Formation .,"

矿化由叶尔玛组中的角闪岩 breccia和风化粉砂岩中携带。"
Previous work by CRA exploring for sediment hosted copper deposits defined an anomalous geochemical signature and a number of RAB holes were completed at the Terra Rosa and Elmo prospects .,"

加拿大地质研究局（CGRA）此前在找砂矿时发现了铜矿，形成了异常的地质化学特征。在特拉罗萨和埃尔莫 prospects处完成了许多RAB孔。"
"The copper mineralisation discovered by pervious explorers appears to be in a similar host rock and stratigraphy as the Enigma mineralization , which significantly enhances the prospectivity of the Corktree project .","

先前的Explorers发现的铜矿化，似乎与艾米尼矿化相似，位于相同的主岩层和地层学，这显著提高了Corktree项目的勘探潜力。"
"In addition , previous soil sampling over the southern area gave a poor gold response over the majority of the stripped domain .","

此外，在南部地区之前进行的土壤取样在大多数剥离区域内都显示出较差的金响应。"
There are still soil - covered areas within the southern area that warrant further work including a gold anomalous interpreted north - south structure and areas adjacent to the western boundaries that are poorly exposed and may fall within the radius of the Higginsville gold mineralising event .,"

仍然存在一些覆盖土层区域，需要进一步的工作，包括金异常南北向结构和可能落入汉金ville金成矿化带内的西边界附近未充分暴露的区域。"
The report area has been intruded by the regional - scale Binneringie Dyke .,"

报告区已被区域尺度的宾内林格基基岩层所侵入。"
"This is a thick , complex differentiated mafic intrusion with multiple components considered to be possibly mid Proterozoic in age .","

这是一个由多个组分组成的复杂分化的玄武岩侵入系，其厚度较大，年龄可能属于中生代。"
"The regional sequence is in a rift - phase portion of the Norseman - Wiluna greenstone belt , comprising a complex succession of mafic rocks and ultramafic rocks , sulphidic carbonaceous shale , dacitic volcanic sediments and volcaniclastic sediments .","

该区域地层处于诺斯曼-威尔努因绿岩带的 rift 阶段，由复杂的 mafic 岩石和超 mafic 岩石组成的岩石组合，还包括硫化碳质页岩、 dacitic 火山沉积物和火山岩沉积物。"
The area has a metamorphic grade averaging mid greenschist facies with local higher grade thermal hornfelsing proximal to the Binneringie dyke .,"

该区域的变质类型平均为中生绿片岩类型，局部高温型热型 hornfels靠近比内尔尼耶岩层。"
"This sequence has been intruded by several younger Archaean felsic granitoids , dolerite dykes and lesser porphyry dykes .","

这个系列被几个较年轻的古生代花岗岩、角闪石岩侵入体和较小的角闪石多孔岩所侵入。"
Potential exists for new discoveries within the soil covered and underexplored volcaniclastic sequence .,"

潜在存在新发现于覆盖在土层下的未充分研究的火山沉积系之中。"
"SKM then conducted intensive programs of RC drilling at numerous gold prospecting pits , developing the area for open pit mining and haulage to the New Celebration mill in 2003 .","

SKM随后在众多金矿探查坑中展开了密集的RC钻孔作业，为该区域的露天矿采选和运输至新Celebration矿石处理厂奠定了基础，时间为2003年。"
"Review of previous data , in particular the soil sampling Planning and preparation for pedogenic calcrete auger sampling .","

对以往数据的回顾，特别是风化作用下钙质土钻孔取样规划和准备工作。"
The Binneringie Dyke obscures Archaean detail within its strong magnetic halo and its contacts are difficult to pin down precisely .,Binneringie Dyke的强磁晕掩盖了太古代的细节，其接触点很难准确确定。
"The magnetic interpretation in conjunction with aerial photography shows the volcaniclastics to have a low magnetic relief , with ghosted fold structures and fracture sets that strike NE and N .","

结合空中摄影的磁解释显示，火山lastic具有磁性低、伪褶皱结构和断裂集合，这些断裂集合主要向东北和北延伸。"
4 to 7 inclusive ) Locally there are thin linear discordant entities that display slightly stronger magnetic signatures and are interpreted as Archaean dolerite dykes .,"

4至7号 inclusive ) 在局部地区，存在一些薄层状的异常线状体，它们的磁性特征稍强，被解释为古生代的玄武岩岩层。"
These could be significant in the context of gold mineralisation where they intersect brittle host rocks at optimum angles .,"

这些可能在金矿化的情境中，在最佳角度与脆性宿主岩石相交时具有重要意义。"
"Theoretically these surficial deposits would not comprise an optimum sample medium for soil geochemistry , especially over iron poor volcaniclastics and felsic volcanics that tend not to fix gold in the near - surface weathered profile .","

从理论上讲，这些表层沉积物不能作为土壤 地球化学的最佳样品介质，特别是特别适用于铁贫型火山岩和火成岩，它们不能将金固定在近地表风化轮廓中。"
Firstly the terrain may be divided into two principal domains separated by the Binneringie Dyke .,"

首先，地形可以划分为两个主要的地质区域，分隔于宾内林杰基断层两侧。"
