original text,translation result
"The location of the prospect at the edge of a mid - Proterozoic sedimentary basin abutting a basement high , and the presence of metalliferous rocks in hydrocarbons , suggest potential for sediment hosted base metals mineralisation .",勘探目标位于中元古代沉积盆地与基底隆起相接部位，伴生金属化岩藏存在烃源，表明沉积物基底具有金属矿化潜力。
Exploration showed that the carbonate sequence at Corktree is over 300 metres thick .,"

勘探显示，科克特尔地区的碳酸岩系超过300米厚。"
"Correlations have been drawn from Sweetwaters Well member of the Yelma Formation , which hosts primary MVT style Pb - Zn mineralisation in the main Earaheedy Basin to the east .",从Yelma组Sweetwaters井段推导出的地质关系显示，主要位于东部Earaheedy盆地的基岩中存在MVT型铅锌矿化。
During 2010 reconnaissance mapping and sampling by PacMag was undertaken to assess the potential for Lead deposits and Zinc deposits .,2010年期间，PacMag进行过踏勘填图和采样工作，旨在评估铅矿床和锌矿床的可能性。
"The area is of interest as it is mapped as outcropping Yelma Formation , one of the basal groups of the Yerrida Basin .",该区域具有重要意义，它被填图为出露的Yelma组，作为Yerrida盆地的基底岩群之一。
Mildly anomalous Lead and Zinc were intersected .,轻度异常的铅和锌被揭露。
The area has several hills typical of the Magellan region .,该地区有几个Magellan区域典型的山丘。
The substantial exploration drilling was carried out within the Magellan tenements in 2006 .,2006年，在Magellan矿权地进行了大量勘探钻孔工作。
The mineralisation is hosted by quartz breccia and weathered siltstones and sandstones of the Yelma Formation .,矿化由Yelma组中的石英角砾岩以及风化粉砂岩和砂岩携带。
Previous work by CRA exploring for sediment hosted copper deposits defined an anomalous geochemical signature and a number of RAB holes were completed at the Terra Rosa and Elmo prospects .,加拿大地质研究局（CGRA）此前在找砂矿时发现了铜矿，形成了异常的地质化学特征。在特拉罗萨和埃尔莫 prospects处完成了许多RAB孔。
"The copper mineralisation discovered by pervious explorers appears to be in a similar host rock and stratigraphy as the Enigma mineralization , which significantly enhances the prospectivity of the Corktree project .",先前勘探者发现的铜矿化显示与Enigma矿化具有相似的主岩和地层，这显著提高了Corktree项目的勘探潜力。
"In addition , previous soil sampling over the southern area gave a poor gold response over the majority of the stripped domain .","In addition , previous soil sampling over the southern area gave a poor gold response over the majority of the stripped domain ."
There are still soil - covered areas within the southern area that warrant further work including a gold anomalous interpreted north - south structure and areas adjacent to the western boundaries that are poorly exposed and may fall within the radius of the Higginsville gold mineralising event .,仍存在土壤覆盖区需要进一步工作，包括解译的南北向金异常构造，以及西边界附近出露不良、可能位于Higginsville金矿化事件影响范围内的区域。
The report area has been intruded by the regional - scale Binneringie Dyke .,报告区已被区域尺度的Binneringie岩墙所穿切。
"This is a thick , complex differentiated mafic intrusion with multiple components considered to be possibly mid Proterozoic in age .",这是一个厚度较大、由多组分组成的复杂分异镁铁质侵入系，其年龄可能属于中元古代。
"The regional sequence is in a rift - phase portion of the Norseman - Wiluna greenstone belt , comprising a complex succession of mafic rocks and ultramafic rocks , sulphidic carbonaceous shale , dacitic volcanic sediments and volcaniclastic sediments .",该区域地层处于Norseman-Wiluna绿岩带的裂谷期，由复杂的镁铁质岩和超镁铁质岩序列组成，还包括硫化碳质页岩、英安质火山沉积物和火山碎屑沉积物。
The area has a metamorphic grade averaging mid greenschist facies with local higher grade thermal hornfelsing proximal to the Binneringie dyke .,该区域的变质程度平均为中绿片岩相，局部出现邻近Binneringie岩墙的较高程度热接触角岩化。
"This sequence has been intruded by several younger Archaean felsic granitoids , dolerite dykes and lesser porphyry dykes .",这个系列被几个较年轻的长英质太古代花岗岩类、粗玄岩岩墙和较少的斑岩岩墙所侵入。
Potential exists for new discoveries within the soil covered and underexplored volcaniclastic sequence .,潜在存在新发现于覆盖在土层下的未充分研究的火山沉积系之中。
