original text,translation result
岩石呈深灰绿色，风化后显浅灰—灰白色，具斑状（碎斑）结构、凝灰结构，胶结物为霏细结构。,"The rock appears deep gray-green, light gray-gray-white after weathering, with pseudomonicrystalline structure and condensed structure. The matrix exhibits microporous structure."
在SiO2-A.R图解（图3-8）中，马架山组、灵乡组火山岩样品均位于碱性区内，说明马架山组、灵乡组火山岩为偏碱质火山岩。,"In the SiO?-A.R graphical representation (Figure 3-8), the volcanic rock samples from the Majiashan group and Lingxiang group are located within the alkaline zone, indicating that the volcanic rocks from the Majiashan group and Lingxiang group are alkaline volcanic rocks."
（5）阳春—新兴断裂（F35）此断裂为阳春盆地东侧的重要边界断裂，受北西向断裂破坏及形成时不同边界条件影响，由数条呈“多”字形组合的断裂组成。,"（5）Yangchun—Xinxing Fault（F35） 
This fracture is an important boundary fracture in the east side of the Yangchun basin. It is subject to varying boundary conditions during its formation and consists of several discontinuities arranged in a ""multi"" shape."
矿物成分：斑晶（钠长石）8%，石英43%，钠长石（基质）35%，钾长石5%，绿帘石2%，绿纤石3%，绿泥石2%，绢云母1%，铁质1%。,"Mineral composition: Phenocryst (Albite) 8%, Quartz 43%, Albite (base) 35%,  kfeldspar5%, Epidote 2%, Pumpellyite 3%, Chlorite 2%, Sericite 1%, Iron-bearing 1%."
胶结物由安山岩组成，含量50%～70%，斑状结构，斑晶仅见斜长石，在碎屑物周围定向排列显示流动构造，为爆发碎屑物被熔岩胶结而成。,"The matrix is composed of andesite, comprising 50% to 70%, with a textural structure, only visible plagioclase crystals are observed, arranged in a directional manner around the fragments, indicating a flowing structure formed by explosive fragments being bound by molten rock matrix."
巴颜喀拉山群、巴塘群和结隆组、结扎群分属巴颜喀拉山地层分区、西金乌兰－金沙江地层分区、羌北－昌都地层分区。,"The Bahutan卡拉山 group, Baling group, and Jiecanglong series, along with the jiaoqiao group, belong to the Bahutan卡拉山 lithostratigraphic division, the Xijin乌兰–Jiachangjiang lithostratigraphic division, and the Yibei–Changdu lithostratigraphic division, respectively."
在火山岩全碱—SiO2（TAS）分类图解中的投影较分散（图4-7），分别落在流纹岩、英安岩及粗面岩三个区域。,"In the classification diagram of total alkali-silica (TAS) for volcanic rock projections, the projections are more scattered, falling into three regions: rhyolitic flow, andesitic, and basaltic (Fig. 4-7)."
长英质矿物呈大小不规则粒状彼此紧密相连，黑云母多呈小叶片状定向分布，红柱石、堇青石、石榴石多呈不规则状，少数呈变斑晶。,"

The felsic minerals particles of varying sizes and irregular shapes, closely connected together, while Biotite tends to be orientated distributions, Andalusite、Cordierite、garnet are mostly irregularly shaped, a few are vein-like crystals."
1、剖面描述以鄂州市涂镇第四系更新统洪冲积物（Qppal）实测地层剖面为代表（图2-48）。,"1. Description of profiles is represented by the realied geologic section of  Quaternary update uniform loess in Tu town, E town of E town of鄂州市 (Qppal), as shown in Figure 2-48."
2．印支期褶皱印支期褶皱（表6-4）见于云开、粤中地区，卷入地层为泥盆系—中三叠统。,"2. Cretaceous fold (Table 6-4) is observed in the Yunkai and Guangdong middle region, with the involved horizons being Lower Jurassic—Middle Jurassic."
测区南部蔡华生厚105.65m，毛铺水库厚202.48m，西畈李厚135m，测区东邻殷祖幅青山水库厚268m，大冶幅走马山厚度81m。,"The thickness of the area to the south of Cai Hua Sheng is 105.65 meters, the thickness of Mao铺 reservoir is 202.48 meters, the thickness of Xibian Li is 135 meters, the thickness of the area to the east of Yin祖幅 near Daxie is 268 meters, and the thickness of Womans Mountain is 81 meters."
断层两盘均为新滩组砂页岩，断裂中局部可见宽数十厘米的挤压破碎带。,"Both flanks of the fault are Sand shale of the Xintan Group, with local sheared zones visible up to several tens of centimeters in the fault zone."
(2)正长斑岩脉偶见于多尼组（K1d）之中，受SE走向断层控制，从位置、岩性看与折勒—得木我石英正长斑岩可以对比，故时代为晚白垩世。,"(2) Dikes of syenite porphyry are occasionally found within the Dunie Formation (K1d), controlled by a SE-trending fault. Based on their position and lithology, they can be compared with the quartz syenite porphyry associated with the Zhalan–Demuwo fold-and-thrust belt, indicating a Late Cretaceous age."
第七节第四纪地层区内第四纪地层分布于聂恰曲，昂爪三角曲，托吉曲等沟谷中，总面积约占测区总面积的2%。,"The Quaternary strata are distributed in the valleys of the Qiecha River, Angzhua Sanjia Qu, and Tuoji River, occupying approximately 2% of the total study area."
